,movieId,title,genres
9,10,GoldenEye (1995),Action|Adventure|Thriller
15,16,Casino (1995),Crime|Drama
20,21,Get Shorty (1995),Comedy|Crime|Thriller
30,31,Dangerous Minds (1995),Drama
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,34,Babe (1995),Children|Drama
35,39,Clueless (1995),Comedy|Romance
43,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
46,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
62,70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
92,104,Happy Gilmore (1996),Comedy
95,107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
97,110,Braveheart (1995),Action|Drama|War
98,111,Taxi Driver (1976),Crime|Drama|Thriller
116,141,"Birdcage, The (1996)",Comedy
118,145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
136,163,Desperado (1995),Action|Romance|Western
142,170,Hackers (1995),Action|Adventure|Crime|Thriller
144,172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
145,173,Judge Dredd (1995),Action|Crime|Sci-Fi
156,185,"Net, The (1995)",Action|Crime|Thriller
159,188,"Prophecy, The (1995)",Fantasy|Horror|Mystery
163,193,Showgirls (1995),Drama
166,196,Species (1995),Horror|Sci-Fi
176,208,Waterworld (1995),Action|Adventure|Sci-Fi
197,231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
216,252,I.Q. (1994),Comedy|Romance
217,253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
224,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
238,276,Milk Money (1994),Comedy|Romance
249,288,Natural Born Killers (1994),Action|Crime|Thriller
254,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
257,296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
275,316,Stargate (1994),Action|Adventure|Sci-Fi
276,317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
277,318,"Shawshank Redemption, The (1994)",Crime|Drama
285,327,Tank Girl (1995),Action|Comedy|Sci-Fi
287,329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
291,333,Tommy Boy (1995),Comedy
302,344,Ace Ventura: Pet Detective (1994),Comedy
311,353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
314,356,Forrest Gump (1994),Comedy|Drama|Romance|War
315,357,Four Weddings and a Funeral (1994),Comedy|Romance
322,364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
326,368,Maverick (1994),Adventure|Comedy|Western
336,379,Timecop (1994),Action|Sci-Fi|Thriller
337,380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
340,383,Wyatt Earp (1994),Western
352,407,In the Mouth of Madness (1995),Horror|Thriller
367,423,Blown Away (1994),Action|Thriller
384,441,Dazed and Confused (1993),Comedy
389,448,Fearless (1993),Drama
398,457,"Fugitive, The (1993)",Thriller
418,480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
443,508,Philadelphia (1993),Drama
461,527,Schindler's List (1993),Drama|War
466,533,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery
474,541,Blade Runner (1982),Action|Sci-Fi|Thriller
476,543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
483,551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
485,553,Tombstone (1993),Action|Drama|Western
486,555,True Romance (1993),Crime|Thriller
506,588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
507,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
508,590,Dances with Wolves (1990),Adventure|Drama|Western
509,592,Batman (1989),Action|Crime|Thriller
510,593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
520,608,Fargo (1996),Comedy|Crime|Drama|Thriller
522,610,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
546,648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
549,653,Dragonheart (1996),Action|Adventure|Fantasy
551,661,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical
553,663,Kids in the Hall: Brain Candy (1996),Comedy
558,671,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi
559,673,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
568,694,"Substitute, The (1996)",Action|Crime|Drama
587,724,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller
592,733,"Rock, The (1996)",Action|Adventure|Thriller
594,736,Twister (1996),Action|Adventure|Romance|Thriller
596,741,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi
602,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
613,778,Trainspotting (1996),Comedy|Crime|Drama
615,780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
619,784,"Cable Guy, The (1996)",Comedy|Thriller
621,786,Eraser (1996),Action|Drama|Thriller
627,799,"Frighteners, The (1996)",Comedy|Horror|Thriller
630,802,Phenomenon (1996),Drama|Romance
636,809,Fled (1996),Action|Adventure
645,832,Ransom (1996),Crime|Thriller
649,837,Matilda (1996),Children|Comedy|Fantasy
651,839,"Crow: City of Angels, The (1996)",Action|Thriller
656,849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller
659,858,"Godfather, The (1972)",Crime|Drama
672,886,Bulletproof (1996),Action|Comedy|Crime
705,923,Citizen Kane (1941),Drama|Mystery
706,924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
783,1025,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical
793,1036,Die Hard (1988),Action|Crime|Thriller
797,1042,That Thing You Do! (1996),Comedy|Drama
801,1049,"Ghost and the Darkness, The (1996)",Action|Adventure
809,1059,William Shakespeare's Romeo + Juliet (1996),Drama|Romance
810,1060,Swingers (1996),Comedy|Drama
811,1061,Sleepers (1996),Thriller
812,1064,Aladdin and the King of Thieves (1996),Animation|Children|Comedy|Fantasy|Musical|Romance
815,1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
828,1089,Reservoir Dogs (1992),Crime|Mystery|Thriller
839,1101,Top Gun (1986),Action|Romance
856,1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
858,1129,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller
863,1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
896,1193,One Flew Over the Cuckoo's Nest (1975),Drama
898,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
902,1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi
907,1206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller
909,1208,Apocalypse Now (1979),Action|Drama|War
911,1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
914,1213,Goodfellas (1990),Crime|Drama
915,1214,Alien (1979),Horror|Sci-Fi
916,1215,Army of Darkness (1993),Action|Adventure|Comedy|Fantasy|Horror
920,1219,Psycho (1960),Crime|Horror
921,1220,"Blues Brothers, The (1980)",Action|Comedy|Musical
922,1221,"Godfather: Part II, The (1974)",Crime|Drama
923,1222,Full Metal Jacket (1987),Drama|War
939,1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller
948,1249,"Femme Nikita, La (Nikita) (1990)",Action|Crime|Romance|Thriller
949,1250,"Bridge on the River Kwai, The (1957)",Adventure|Drama|War
957,1258,"Shining, The (1980)",Horror
960,1261,Evil Dead II (Dead by Dawn) (1987),Action|Comedy|Fantasy|Horror
964,1265,Groundhog Day (1993),Comedy|Fantasy|Romance
967,1268,Pump Up the Volume (1990),Comedy|Drama
973,1274,Akira (1988),Action|Adventure|Animation|Sci-Fi
990,1291,Indiana Jones and the Last Crusade (1989),Action|Adventure
1000,1302,Field of Dreams (1989),Children|Drama|Fantasy
1009,1320,Alien³ (a.k.a. Alien 3) (1992),Action|Horror|Sci-Fi|Thriller
1027,1339,Dracula (Bram Stoker's Dracula) (1992),Fantasy|Horror|Romance|Thriller
1035,1347,"Nightmare on Elm Street, A (1984)",Horror|Thriller
1038,1350,"Omen, The (1976)",Horror|Mystery|Thriller
1071,1391,Mars Attacks! (1996),Action|Comedy|Sci-Fi
1073,1393,Jerry Maguire (1996),Drama|Romance
1076,1396,Sneakers (1992),Action|Comedy|Crime|Drama|Sci-Fi
1083,1407,Scream (1996),Comedy|Horror|Mystery|Thriller
1103,1432,Metro (1997),Action|Comedy|Crime|Drama|Thriller
1124,1466,Donnie Brasco (1997),Crime|Drama
1131,1479,"Saint, The (1997)",Action|Romance|Sci-Fi|Thriller
1135,1485,Liar Liar (1997),Comedy
1145,1499,Anaconda (1997),Action|Adventure|Thriller
1146,1500,Grosse Pointe Blank (1997),Comedy|Crime|Romance
1154,1517,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy
1158,1527,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi
1164,1544,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller
1171,1552,Con Air (1997),Action|Adventure|Thriller
1177,1566,Hercules (1997),Adventure|Animation|Children|Comedy|Musical
1183,1580,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi
1192,1589,Cop Land (1997),Action|Crime|Drama|Thriller
1193,1590,Event Horizon (1997),Horror|Sci-Fi|Thriller
1194,1591,Spawn (1997),Action|Adventure|Sci-Fi|Thriller
1199,1597,Conspiracy Theory (1997),Drama|Mystery|Romance|Thriller
1209,1608,Air Force One (1997),Action|Thriller
1210,1609,187 (One Eight Seven) (1997),Drama|Thriller
1211,1610,"Hunt for Red October, The (1990)",Action|Adventure|Thriller
1216,1615,"Edge, The (1997)",Adventure|Drama
1218,1617,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
1220,1620,Kiss the Girls (1997),Crime|Drama|Mystery|Thriller
1224,1625,"Game, The (1997)",Drama|Mystery|Thriller
1235,1644,I Know What You Did Last Summer (1997),Horror|Mystery|Thriller
1236,1645,The Devil's Advocate (1997),Drama|Mystery|Thriller
1243,1653,Gattaca (1997),Drama|Sci-Fi|Thriller
1258,1673,Boogie Nights (1997),Drama
1261,1676,Starship Troopers (1997),Action|Sci-Fi
1267,1682,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi
1275,1690,Alien: Resurrection (1997),Action|Horror|Sci-Fi
1284,1704,Good Will Hunting (1997),Drama|Romance
1288,1717,Scream 2 (1997),Comedy|Horror|Mystery|Thriller
